,Year,ICD10 Code,ICD10 Diagnosis,Diagnosis Type,Sex,Deaths,admissions,Age Group,Addicts(Age Group),Therapy_Cost,Real_Households_Income,Household_Expenditure_Tobacco
79,2014,C16,Stomach,Cancers which can be caused by smoking,Any,8.188411308079031,5380.0,16 and Over,19,38145,190.0,19411.0
80,2014,C16,Stomach,Cancers which can be caused by smoking,Any,8.188411308079031,600.0,16 and Over,19,38145,190.0,19411.0
94,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Any,7.720461694599722,7000.0,16 and Over,19,38145,190.0,19411.0
96,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Any,7.720461694599722,5400.0,16 and Over,19,38145,190.0,19411.0
97,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Any,7.720461694599722,17456.0,16 and Over,19,38145,190.0,19411.0
98,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Any,7.720461694599722,1600.0,16 and Over,19,38145,190.0,19411.0
99,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.081708586105575,5880.0,16 and Over,19,38145,190.0,19411.0
100,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.081708586105575,5000.0,16 and Over,19,38145,190.0,19411.0
101,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.081708586105575,3131.0,16 and Over,19,38145,190.0,19411.0
102,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.081708586105575,2800.0,16 and Over,19,38145,190.0,19411.0
103,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.081708586105575,2749.0,16 and Over,19,38145,190.0,19411.0
104,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,7.081708586105575,2200.0,16 and Over,19,38145,190.0,19411.0
130,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.8013913202914855,6200.0,16 and Over,19,38145,190.0,19411.0
131,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.8013913202914855,22104.0,16 and Over,19,38145,190.0,19411.0
132,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.8013913202914855,3500.0,16 and Over,19,38145,190.0,19411.0
133,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.8013913202914855,15655.0,16 and Over,19,38145,190.0,19411.0
134,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Any,7.8013913202914855,2700.0,16 and Over,19,38145,190.0,19411.0
154,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.4645098346365275,11200.0,16 and Over,19,38145,190.0,19411.0
155,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.4645098346365275,12000.0,16 and Over,19,38145,190.0,19411.0
156,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.4645098346365275,6100.0,16 and Over,19,38145,190.0,19411.0
157,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.4645098346365275,11659.0,16 and Over,19,38145,190.0,19411.0
158,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,7.4645098346365275,5100.0,16 and Over,19,38145,190.0,19411.0
184,2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Any,6.68586094706836,19900.0,16 and Over,19,38145,190.0,19411.0
186,2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Any,6.68586094706836,10000.0,16 and Over,19,38145,190.0,19411.0
188,2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Any,6.68586094706836,9900.0,16 and Over,19,38145,190.0,19411.0
195,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.244941546337007,21715.0,16 and Over,19,38145,190.0,19411.0
196,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.244941546337007,14000.0,16 and Over,19,38145,190.0,19411.0
197,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.244941546337007,15583.0,16 and Over,19,38145,190.0,19411.0
198,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.244941546337007,11100.0,16 and Over,19,38145,190.0,19411.0
199,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.244941546337007,6132.0,16 and Over,19,38145,190.0,19411.0
200,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Any,7.244941546337007,2900.0,16 and Over,19,38145,190.0,19411.0
201,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,4625.0,16 and Over,19,38145,190.0,19411.0
202,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,3700.0,16 and Over,19,38145,190.0,19411.0
203,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,3886.0,16 and Over,19,38145,190.0,19411.0
204,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,3100.0,16 and Over,19,38145,190.0,19411.0
205,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,739.0,16 and Over,19,38145,190.0,19411.0
206,2014,C32,Larynx,Cancers which can be caused by smoking,Any,6.2166061010848646,500.0,16 and Over,19,38145,190.0,19411.0
208,2014,C15,Oesophagus,Cancers which can be caused by smoking,Any,8.31898612539206,19400.0,16 and Over,19,38145,190.0,19411.0
209,2014,C15,Oesophagus,Cancers which can be caused by smoking,Any,8.31898612539206,21400.0,16 and Over,19,38145,190.0,19411.0
210,2014,C15,Oesophagus,Cancers which can be caused by smoking,Any,8.31898612539206,14500.0,16 and Over,19,38145,190.0,19411.0
211,2014,C15,Oesophagus,Cancers which can be caused by smoking,Any,8.31898612539206,8303.0,16 and Over,19,38145,190.0,19411.0
212,2014,C15,Oesophagus,Cancers which can be caused by smoking,Any,8.31898612539206,4900.0,16 and Over,19,38145,190.0,19411.0
222,2014,C67,Bladder,Cancers which can be caused by smoking,Any,7.438971592395862,22100.0,16 and Over,19,38145,190.0,19411.0
223,2014,C67,Bladder,Cancers which can be caused by smoking,Any,7.438971592395862,16148.0,16 and Over,19,38145,190.0,19411.0
224,2014,C67,Bladder,Cancers which can be caused by smoking,Any,7.438971592395862,4600.0,16 and Over,19,38145,190.0,19411.0
225,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,15426.0,16 and Over,19,38145,190.0,19411.0
226,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,3700.0,16 and Over,19,38145,190.0,19411.0
227,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,10123.0,16 and Over,19,38145,190.0,19411.0
228,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,3300.0,16 and Over,19,38145,190.0,19411.0
229,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,5303.0,16 and Over,19,38145,190.0,19411.0
230,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Any,6.68586094706836,400.0,16 and Over,19,38145,190.0,19411.0
231,2014,C16,Stomach,Cancers which can be caused by smoking,Any,6.55250788703459,19125.0,16 and Over,19,38145,190.0,19411.0
232,2014,C16,Stomach,Cancers which can be caused by smoking,Any,6.55250788703459,3900.0,16 and Over,19,38145,190.0,19411.0
233,2014,C16,Stomach,Cancers which can be caused by smoking,Any,6.55250788703459,13745.0,16 and Over,19,38145,190.0,19411.0
234,2014,C16,Stomach,Cancers which can be caused by smoking,Any,6.55250788703459,3300.0,16 and Over,19,38145,190.0,19411.0
235,2014,C16,Stomach,Cancers which can be caused by smoking,Any,6.55250788703459,5380.0,16 and Over,19,38145,190.0,19411.0
236,2014,C16,Stomach,Cancers which can be caused by smoking,Any,6.55250788703459,600.0,16 and Over,19,38145,190.0,19411.0
238,2014,C25,Pancreas,Cancers which can be caused by smoking,Any,7.438971592395862,6100.0,16 and Over,19,38145,190.0,19411.0
239,2014,C25,Pancreas,Cancers which can be caused by smoking,Any,7.438971592395862,14470.0,16 and Over,19,38145,190.0,19411.0
240,2014,C25,Pancreas,Cancers which can be caused by smoking,Any,7.438971592395862,3100.0,16 and Over,19,38145,190.0,19411.0
241,2014,C25,Pancreas,Cancers which can be caused by smoking,Any,7.438971592395862,12320.0,16 and Over,19,38145,190.0,19411.0
242,2014,C25,Pancreas,Cancers which can be caused by smoking,Any,7.438971592395862,3000.0,16 and Over,19,38145,190.0,19411.0
243,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.006700845440367,8245.0,16 and Over,19,38145,190.0,19411.0
244,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.006700845440367,2800.0,16 and Over,19,38145,190.0,19411.0
245,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.006700845440367,3546.0,16 and Over,19,38145,190.0,19411.0
246,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.006700845440367,1800.0,16 and Over,19,38145,190.0,19411.0
247,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.006700845440367,4699.0,16 and Over,19,38145,190.0,19411.0
248,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Any,8.006700845440367,900.0,16 and Over,19,38145,190.0,19411.0
255,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,6.90875477931522,5880.0,16 and Over,19,38145,190.0,19411.0
256,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,6.90875477931522,5000.0,16 and Over,19,38145,190.0,19411.0
257,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,6.90875477931522,3131.0,16 and Over,19,38145,190.0,19411.0
258,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,6.90875477931522,2800.0,16 and Over,19,38145,190.0,19411.0
259,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,6.90875477931522,2749.0,16 and Over,19,38145,190.0,19411.0
260,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Any,6.90875477931522,2200.0,16 and Over,19,38145,190.0,19411.0
272,2014,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Any,8.31898612539206,17700.0,16 and Over,19,38145,190.0,19411.0
278,2014,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Any,7.937731775260109,12700.0,16 and Over,19,38145,190.0,19411.0
292,2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Any,7.901377353792616,16500.0,16 and Over,19,38145,190.0,19411.0
294,2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Any,7.901377353792616,9600.0,16 and Over,19,38145,190.0,19411.0
296,2014,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Any,7.901377353792616,6900.0,16 and Over,19,38145,190.0,19411.0
297,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.03947991910045,12166.0,16 and Over,19,38145,190.0,19411.0
298,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.03947991910045,7200.0,16 and Over,19,38145,190.0,19411.0
299,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.03947991910045,9461.0,16 and Over,19,38145,190.0,19411.0
300,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.03947991910045,5800.0,16 and Over,19,38145,190.0,19411.0
301,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.03947991910045,2705.0,16 and Over,19,38145,190.0,19411.0
302,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Any,8.03947991910045,1500.0,16 and Over,19,38145,190.0,19411.0
310,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,6.68586094706836,11200.0,16 and Over,19,38145,190.0,19411.0
311,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,6.68586094706836,12000.0,16 and Over,19,38145,190.0,19411.0
312,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,6.68586094706836,6100.0,16 and Over,19,38145,190.0,19411.0
313,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,6.68586094706836,11659.0,16 and Over,19,38145,190.0,19411.0
314,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Any,6.68586094706836,5100.0,16 and Over,19,38145,190.0,19411.0
354,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,7.307202314764738,21715.0,16 and Over,20,38145,190.0,19411.0
355,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,7.307202314764738,14000.0,16 and Over,20,38145,190.0,19411.0
356,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,7.307202314764738,15583.0,16 and Over,20,38145,190.0,19411.0
357,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,7.307202314764738,11100.0,16 and Over,20,38145,190.0,19411.0
358,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,7.307202314764738,6132.0,16 and Over,20,38145,190.0,19411.0
359,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,7.307202314764738,2900.0,16 and Over,20,38145,190.0,19411.0
360,2014,C32,Larynx,Cancers which can be caused by smoking,Male,6.2878585601617845,4625.0,16 and Over,20,38145,190.0,19411.0
361,2014,C32,Larynx,Cancers which can be caused by smoking,Male,6.2878585601617845,3700.0,16 and Over,20,38145,190.0,19411.0
362,2014,C32,Larynx,Cancers which can be caused by smoking,Male,6.2878585601617845,3886.0,16 and Over,20,38145,190.0,19411.0
363,2014,C32,Larynx,Cancers which can be caused by smoking,Male,6.2878585601617845,3100.0,16 and Over,20,38145,190.0,19411.0
364,2014,C32,Larynx,Cancers which can be caused by smoking,Male,6.2878585601617845,739.0,16 and Over,20,38145,190.0,19411.0
365,2014,C32,Larynx,Cancers which can be caused by smoking,Male,6.2878585601617845,500.0,16 and Over,20,38145,190.0,19411.0
367,2014,C15,Oesophagus,Cancers which can be caused by smoking,Male,8.359603270841466,19400.0,16 and Over,20,38145,190.0,19411.0
368,2014,C15,Oesophagus,Cancers which can be caused by smoking,Male,8.359603270841466,21400.0,16 and Over,20,38145,190.0,19411.0
369,2014,C15,Oesophagus,Cancers which can be caused by smoking,Male,8.359603270841466,14500.0,16 and Over,20,38145,190.0,19411.0
370,2014,C15,Oesophagus,Cancers which can be caused by smoking,Male,8.359603270841466,8303.0,16 and Over,20,38145,190.0,19411.0
371,2014,C15,Oesophagus,Cancers which can be caused by smoking,Male,8.359603270841466,4900.0,16 and Over,20,38145,190.0,19411.0
381,2014,C67,Bladder,Cancers which can be caused by smoking,Male,8.024534871605695,22100.0,16 and Over,20,38145,190.0,19411.0
382,2014,C67,Bladder,Cancers which can be caused by smoking,Male,8.024534871605695,16148.0,16 and Over,20,38145,190.0,19411.0
383,2014,C67,Bladder,Cancers which can be caused by smoking,Male,8.024534871605695,4600.0,16 and Over,20,38145,190.0,19411.0
384,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.709308333385869,15426.0,16 and Over,20,38145,190.0,19411.0
385,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.709308333385869,3700.0,16 and Over,20,38145,190.0,19411.0
386,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.709308333385869,10123.0,16 and Over,20,38145,190.0,19411.0
387,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.709308333385869,3300.0,16 and Over,20,38145,190.0,19411.0
388,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.709308333385869,5303.0,16 and Over,20,38145,190.0,19411.0
389,2014,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Male,7.709308333385869,400.0,16 and Over,20,38145,190.0,19411.0
390,2014,C16,Stomach,Cancers which can be caused by smoking,Male,7.749753406274437,19125.0,16 and Over,20,38145,190.0,19411.0
391,2014,C16,Stomach,Cancers which can be caused by smoking,Male,7.749753406274437,3900.0,16 and Over,20,38145,190.0,19411.0
392,2014,C16,Stomach,Cancers which can be caused by smoking,Male,7.749753406274437,13745.0,16 and Over,20,38145,190.0,19411.0
393,2014,C16,Stomach,Cancers which can be caused by smoking,Male,7.749753406274437,3300.0,16 and Over,20,38145,190.0,19411.0
394,2014,C16,Stomach,Cancers which can be caused by smoking,Male,7.749753406274437,5380.0,16 and Over,20,38145,190.0,19411.0
395,2014,C16,Stomach,Cancers which can be caused by smoking,Male,7.749753406274437,600.0,16 and Over,20,38145,190.0,19411.0
397,2014,C25,Pancreas,Cancers which can be caused by smoking,Male,8.219056661060598,6100.0,16 and Over,20,38145,190.0,19411.0
398,2014,C25,Pancreas,Cancers which can be caused by smoking,Male,8.219056661060598,14470.0,16 and Over,20,38145,190.0,19411.0
399,2014,C25,Pancreas,Cancers which can be caused by smoking,Male,8.219056661060598,3100.0,16 and Over,20,38145,190.0,19411.0
400,2014,C25,Pancreas,Cancers which can be caused by smoking,Male,8.219056661060598,12320.0,16 and Over,20,38145,190.0,19411.0
401,2014,C25,Pancreas,Cancers which can be caused by smoking,Male,8.219056661060598,3000.0,16 and Over,20,38145,190.0,19411.0
402,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.311889558230359,8245.0,16 and Over,20,38145,190.0,19411.0
403,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.311889558230359,2800.0,16 and Over,20,38145,190.0,19411.0
404,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.311889558230359,3546.0,16 and Over,20,38145,190.0,19411.0
405,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.311889558230359,1800.0,16 and Over,20,38145,190.0,19411.0
406,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.311889558230359,4699.0,16 and Over,20,38145,190.0,19411.0
407,2014,C80,Unspecified Site,Cancers which can be caused by smoking,Male,8.311889558230359,900.0,16 and Over,20,38145,190.0,19411.0
409,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Male,7.166265974133638,7000.0,16 and Over,20,38145,190.0,19411.0
411,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Male,7.166265974133638,5400.0,16 and Over,20,38145,190.0,19411.0
412,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Male,7.166265974133638,17456.0,16 and Over,20,38145,190.0,19411.0
413,2014,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Male,7.166265974133638,1600.0,16 and Over,20,38145,190.0,19411.0
414,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.62273632394984,5880.0,16 and Over,20,38145,190.0,19411.0
415,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.62273632394984,5000.0,16 and Over,20,38145,190.0,19411.0
416,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.62273632394984,3131.0,16 and Over,20,38145,190.0,19411.0
417,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.62273632394984,2800.0,16 and Over,20,38145,190.0,19411.0
418,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.62273632394984,2749.0,16 and Over,20,38145,190.0,19411.0
419,2014,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Male,6.62273632394984,2200.0,16 and Over,20,38145,190.0,19411.0
445,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,6.920671504248683,6200.0,16 and Over,20,38145,190.0,19411.0
446,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,6.920671504248683,22104.0,16 and Over,20,38145,190.0,19411.0
447,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,6.920671504248683,3500.0,16 and Over,20,38145,190.0,19411.0
448,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,6.920671504248683,15655.0,16 and Over,20,38145,190.0,19411.0
449,2014,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Male,6.920671504248683,2700.0,16 and Over,20,38145,190.0,19411.0
456,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.0774471493312,12166.0,16 and Over,20,38145,190.0,19411.0
457,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.0774471493312,7200.0,16 and Over,20,38145,190.0,19411.0
458,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.0774471493312,9461.0,16 and Over,20,38145,190.0,19411.0
459,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.0774471493312,5800.0,16 and Over,20,38145,190.0,19411.0
460,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.0774471493312,2705.0,16 and Over,20,38145,190.0,19411.0
461,2014,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Male,8.0774471493312,1500.0,16 and Over,20,38145,190.0,19411.0
469,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,6.872128101338986,11200.0,16 and Over,20,38145,190.0,19411.0
470,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,6.872128101338986,12000.0,16 and Over,20,38145,190.0,19411.0
471,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,6.872128101338986,6100.0,16 and Over,20,38145,190.0,19411.0
472,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,6.872128101338986,11659.0,16 and Over,20,38145,190.0,19411.0
473,2014,K25-K27,Stomach / Duodenal Ulcer,Digestive diseases which can be caused caused by smoking,Male,6.872128101338986,5100.0,16 and Over,20,38145,190.0,19411.0
499,2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Male,6.2166061010848646,19900.0,16 and Over,20,38145,190.0,19411.0
501,2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Male,6.2166061010848646,10000.0,16 and Over,20,38145,190.0,19411.0
503,2014,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Male,6.2166061010848646,9900.0,16 and Over,20,38145,190.0,19411.0
510,2014,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Male,7.00397413672268,21715.0,16 and Over,20,38145,190.0,19411.0
